branch	head_sha	last_commit_at	last_author	protected	default_branch	open_pr	closed_pr	merged_pr	pr_numbers	latest_pr_number	latest_pr_base	latest_pr_url	ahead_main	behind_main	ahead_dev	behind_dev	ancestor_of_main	ancestor_of_dev	unique_commit_count_vs_dev	unique_file_count_vs_dev	physical_ancestry_required	content_port_required	decision	reason	delete_batch
feature/population-aware-cfm-v021	12c41b3cbe96801ea8393d7af43930156f114ede	2026-07-17T09:19:39+08:00	liq22	false	false	false	true	false	79	79	main	https://github.com/PHMbench/PHM-Vibench/pull/79	1	1	1	169	false	false	1	14	false	false	rebuild_from_dev	legacy PR(s) #79 require bounded replacement	K5/R07
feature/streamlit-app-experimental	26fc18e7a806957b8d9d6062759be1b11cfbb7e2	2026-07-10T23:20:39+08:00	liq22	false	false	false	false	true	44	44	main	https://github.com/PHMbench/PHM-Vibench/pull/44	29	35	29	203	false	false	29	11	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/streamlit-experience	ce14675466ea3f6d5554889c8a705af21efe9c8d	2026-07-11T20:40:00+08:00	liq22	false	false	false	false	true	46	46	main	https://github.com/PHMbench/PHM-Vibench/pull/46	18	34	18	202	false	false	18	16	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/streamlit-first-run-ux-20260714	51a38c805ad0032ccf5af847060e17ae2e3ff45d	2026-07-14T12:36:16+08:00	liq22	false	false	false	false	true	73	73	main	https://github.com/PHMbench/PHM-Vibench/pull/73	18	14	18	182	false	false	18	10	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/streamlit-run-results	3620dc877dc1079792359d7628e15ccd94723a2c	2026-07-11T19:50:30+08:00	liq22	false	false	false	false	false					30	35	30	203	false	false	30	12	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/uxfd-u1-core-contract-20260709	2dd1a0fb49488d219454e2c4736416baf411d297	2026-07-09T20:47:38+08:00	liq22	false	false	false	true	false	39	39	main	https://github.com/PHMbench/PHM-Vibench/pull/39	17	35	17	203	false	false	17	15	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/uxfd-u1-core-contract-20260713	0454cb92190ea11be716502bd6d22e572d9a32ea	2026-07-14T00:49:37+08:00	liq22	false	false	false	false	true	61	61	main	https://github.com/PHMbench/PHM-Vibench/pull/61	3	20	3	188	false	false	3	15	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/uxfd-u2-demo-registry-20260710	129c7f22f102c1c6cc5df504d08be472d9e0ff47	2026-07-10T12:08:33+08:00	liq22	false	false	false	true	false	42	42	feature/uxfd-u1-core-contract-20260709	https://github.com/PHMbench/PHM-Vibench/pull/42	22	35	22	203	false	false	22	20	false	false	rebuild_from_dev	legacy PR(s) #42 require bounded replacement	K5/R07
Feature_factory-update	ed1bc7d7968cff6a1e0f0cf1c2d1c476054d4cdb	2026-06-23T22:23:38+08:00	liq22	false	false	false	false	false					36	39	36	207	false	false	36	413	false	false	salvage_by_vertical_slice	split into generative runtime, registry/config, smoke, evidence tools, and research-material disposition	K4/R07
fix/demo05-pretrain-data-dir-20260712	4386cf63ee62634158c888beed7ef95efa7069d4	2026-07-12T01:00:47+08:00	liq22	false	false	false	false	true	50	50	main	https://github.com/PHMbench/PHM-Vibench/pull/50	1	28	1	196	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
fix/streamlit-cancel-status-20260711	1065c56db58fbe628d610c329fb3024d9255c484	2026-07-12T00:07:19+08:00	liq22	false	false	false	false	true	47	47	main	https://github.com/PHMbench/PHM-Vibench/pull/47	1	32	1	200	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
integration/uxfd-main-20260709	cf9c37d3e50450f94c7b303612b7df5d0085e712	2026-07-09T11:30:30+08:00	liq22	false	false	false	false	false					0	38	0	206	true	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
lq_merge_UXFD	31958fa1d767007cafa56e3bbb4cfb81d0881d65	2026-02-01T20:34:00+08:00	liq22	false	false	false	false	false					12	45	12	213	false	false	12	66	false	false	salvage_by_vertical_slice	split into TSPN_UXFD runtime, configs/registry, NSN wrapper, artifact tools, and paper material	K4/R07
main	a331769d4005018bc833534ecf4efeb5e8a5a78d	2026-07-17T17:29:14+08:00	liq22	true	true	false	false	true	36	36	main	https://github.com/PHMbench/PHM-Vibench/pull/36	0	0	0	168	true	true	0	0	false	false	retain_permanent	user-facing stable/default branch	K0
ops/repo-optimization-goal-pack-20260710	f2f072f3cb4b36a296eb31d00003362c1e75cc8b	2026-07-10T22:10:41+08:00	liq22	false	false	false	true	false	43	43	main	https://github.com/PHMbench/PHM-Vibench/pull/43	11	35	11	203	false	false	11	11	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
optimize/repo-health-10h-20260711	f7e5d1200f5bd395b73a687201ff98a82ac16116	2026-07-11T18:00:40+08:00	liq22	false	false	false	false	true	45	45	main	https://github.com/PHMbench/PHM-Vibench/pull/45	5	35	5	203	false	false	5	29	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p01-uxfd-multimodal-alignment	d63d84a7163652f7d5505fa652d4229af6d2131b	2026-07-21T00:51:54+08:00	liq22	false	false	false	false	false					5	0	5	168	false	false	5	116	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p02-xfd-benchmark-toolkit	a71094f90ad5e49eb18f50b1454ff000ff250bbb	2026-07-21T00:51:54+08:00	liq22	false	false	false	false	false					4	0	4	168	false	false	4	147	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p03-evidence-grounded-llm-xfd	1854c9d35e223e72f2fe89b5b0c0d88e3d5fba6b	2026-07-21T00:49:45+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	106	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p04-physics-informed-moe-xfd	b8fb4b76760a216adab807c7a15a5b9445de79be	2026-07-21T00:47:29+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	88	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p05-neuro-fuzzy-safe-xfd	37ce23470c4937bb56db483caf16caacc602a51b	2026-07-21T00:47:29+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	77	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p06-verifiable-neural-symbolic-xfd	932bea9b8ffbd4595cd932f11c5beaa8dc51866b	2026-07-21T00:47:30+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	102	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p07-xoan-operator-attention	0d90a9aaf38957b0a86166d18756158f56ac7d14	2026-07-21T00:43:31+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	80	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p08-hse-prompt-cddg	1b343ca4cfbbc102875960b3fdd07f489e842163	2026-07-21T00:43:31+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	43	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
paper/p09-hse-prompt-gfs	6274b2493d438427cc5713f331eb71508c2004c9	2026-07-21T00:43:31+08:00	liq22	false	false	false	false	false					3	0	3	168	false	false	3	49	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
research/2025-2026-method-expansion-current	0f082f19e8d4b9ef0f439028e985db020e986a0a	2026-07-18T00:09:16+08:00	liq22	false	false	false	true	false	81	81	main	https://github.com/PHMbench/PHM-Vibench/pull/81	6	0	6	168	false	false	6	55	false	false	rebuild_from_dev	legacy PR(s) #81 require bounded replacement	K5/R07
